"60bb83c7aab5925664a46084","2021-06-05 14:01:43.000000","Very large but delicious chocolate chip cookies!","user","https://foursquare.com/item/60bb83c7aab5925664a46084","132","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5c421048dbde11002535721b","Chip City","https://foursquare.com/v/chip-city/5c421048dbde11002535721b"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"60722e08bb80c822a6916647","2021-04-10 23:00:24.000000","The ""Gold brew"" here was one of the best cold brews I've had!","user","https://foursquare.com/item/60722e08bb80c822a6916647","779","4","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5f6f538bc5762d076deaac9b","Espresso Paloma","https://foursquare.com/v/espresso-paloma/5f6f538bc5762d076deaac9b"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5f2ef7c83bcf2f6b89122d4a","2020-08-08 19:06:48.000000","Had a really great brunch!","user","https://foursquare.com/item/5f2ef7c83bcf2f6b89122d4a","752","6","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5ef8c3ac187b2d000972912b","Kokomo","https://foursquare.com/v/kokomo/5ef8c3ac187b2d000972912b"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5ded83b577c7b00006fc1c10","2019-12-08 23:13:57.000000","Great food, amazing service!","user","https://foursquare.com/item/5ded83b577c7b00006fc1c10","53","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","40fc6080f964a520150b1fe3","Negril Village","https://foursquare.com/v/negril-village/40fc6080f964a520150b1fe3"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5deb17b21b3a8e0006240993","2019-12-07 03:08:34.000000","Amazing molecular cocktails!","user","https://foursquare.com/item/5deb17b21b3a8e0006240993","38","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5d74391d4155270008c58528","El Patio","https://foursquare.com/v/el-patio/5d74391d4155270008c58528"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5de307cfc8ca7d0006caed28","2019-12-01 00:22:39.000000","Great tofu dishes!","user","https://foursquare.com/item/5de307cfc8ca7d0006caed28","27","1","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5db485bf61c9ea000806f7a9","The Buffs","https://foursquare.com/v/the-buffs/5db485bf61c9ea000806f7a9"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5de307c53a5e3100088c362b","2019-12-01 00:22:29.000000","Really great! We did the Surprise Dish for Two and got some really delicious dishes we hadn't tried before.","user","https://foursquare.com/item/5de307c53a5e3100088c362b","60","3","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5db485bf61c9ea000806f7a9","The Buffs","https://foursquare.com/v/the-buffs/5db485bf61c9ea000806f7a9"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5da3c1e6be66f700067a9485","2019-10-14 00:31:34.000000","Really excellent cocktails!","user","https://foursquare.com/item/5da3c1e6be66f700067a9485","272","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","4b933ea9f964a5200c3d34e3","Terraza 7","https://foursquare.com/v/terraza-7/4b933ea9f964a5200c3d34e3"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5d46059c4d25e90008af849b","2019-08-03 22:07:24.000000","Definitely not one dollar symbol, like 3.","user","https://foursquare.com/item/5d46059c4d25e90008af849b","76","1","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","58b79c23668af72c7bdbfdc6","Empellón","https://foursquare.com/v/empell%C3%B3n/58b79c23668af72c7bdbfdc6"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5d0fc0c5e2dcb400235baa70","2019-06-23 18:11:17.000000","Great Brussel Sprout Hash and brunch drinks!","user","https://foursquare.com/item/5d0fc0c5e2dcb400235baa70","81","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","50d5e0fce4b01e0c6330f7a1","Sunshine Co.","https://foursquare.com/v/sunshine-co/50d5e0fce4b01e0c6330f7a1"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5cf920638496ca002c8fb1ab","2019-06-06 14:17:07.000000","Great noodles and buns!","user","https://foursquare.com/item/5cf920638496ca002c8fb1ab","128","4","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5c72e85f0802d4002cf2f4af","Xiang Xiang Noodle","https://foursquare.com/v/xiang-xiang-noodle/5c72e85f0802d4002cf2f4af"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"5c96ea36e9b9a5002535ca96","2019-03-24 02:23:50.000000","Much improved by the recent renovation, it's a little pricier than the average, but great. Even if you're not interested in food, I really liked their cocktails.","user","https://foursquare.com/item/5c96ea36e9b9a5002535ca96","177","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5b083ee3dee770002c0579da","Corazon De Mexico","https://foursquare.com/v/corazon-de-mexico/5b083ee3dee770002c0579da"
